---Эпоха - 13---
Точность(266) - 0,002818385 - ТУТ
Точность(267) - 0,001893293 - ТУТ
Точность(268) - 0,001529991 - ТУТ
Точность(269) - 0,0009091585
Точность(270) - 0,001482877 - ТУТ
Точность(271) - 0,002624112 - ТУТ
Точность(272) - 0,001280586 - ТУТ
Точность(273) - 0,0009951424
Точность(274) - 0,00142053 - ТУТ
Точность(275) - 0,002356461 - ТУТ
Точность(276) - 0,001202458 - ТУТ
Точность(277) - 0,001267337 - ТУТ
Точность(278) - 0,002337812 - ТУТ
Точность(279) - 0,000863173
Точность(280) - 0,00160201 - ТУТ
Точность(281) - 0,001422329 - ТУТ
Точность(282) - 0,0007314762
Точность(283) - 0,0004769228
Точность(284) - 0,000933931
Точность(285) - 0,001450525 - ТУТ
Точность(286) - 0,001013488 - ТУТ
Точность(287) - 0,00135688 - ТУТ
Точность(288) - 0,001738946 - ТУТ
Точность(289) - 0,002016857 - ТУТ
Точность(290) - 0,001210614 - ТУТ
Точность(291) - 0,001196012 - ТУТ
Точность(292) - 0,0007984281
Точность(293) - 0,007947584 - ТУТ
Точность(294) - 0,001634388 - ТУТ
Точность(295) - 0,00638273 - ТУТ
Точность(296) - 0,00119344 - ТУТ
Точность(297) - 0,001545995 - ТУТ
Точность(298) - 0,0009258416
Точность(299) - 0,001129565 - ТУТ

Точность эпохи - 0,001434861
Альфа = 0,2659155
Время: 4,514 сек
---Конец эпохи 13---
